"vz_int_pfk";"int_vz_maxima";"cam_vz_afe";"ope_qt_horasjan";"ope_qt_horasfev";"ope_qt_horasmar";"ope_qt_horasabr";"ope_qt_horasmai";"ope_qt_horasjun";"ope_qt_horasjul";"ope_qt_horasago";"ope_qt_horasset";"ope_qt_horasout";"ope_qt_horasnov";"ope_qt_horasdez";"ope_qt_diajan";"ope_qt_diafev";"ope_qt_diamar";"ope_qt_diaabr";"ope_qt_diamai";"ope_qt_diajun";"ope_qt_diajul";"ope_qt_diaago";"ope_qt_diaset";"ope_qt_diaout";"ope_qt_dianov";"ope_qt_diadez";"ope_vz_mesjan";"ope_vz_mesfev";"ope_vz_mesmar";"ope_vz_mesabr";"ope_vz_mesmai";"ope_vz_mesjul";"ope_vz_mesjun";"ope_vz_mesago";"ope_vz_mesout";"ope_vz_messet";"ope_vz_mesnov";"ope_vz_mesdez"
"174181";"5.0";"1";"8";"8";"3";"3";"3";"3";"3";"3";"6";"6";"6";"6";"12";"12";"8";"8";"8";"8";"8";"8";"12";"12";"12";"12";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"174182";"0.5";"1";"6";"6";"3";"3";"3";"3";"3";"3";"6";"6";"6";"6";"12";"12";"8";"8";"8";"8";"8";"8";"12";"12";"12";"12";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"174183";"12.0";"1";"8";"8";"0";"0";"0";"0";"0";"0";"8";"8";"8";"8";"12";"12";"0";"0";"0";"0";"0";"0";"12";"12";"12";"12";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"174184";"1.0";"1";"3";"3";"2";"2";"2";"2";"2";"2";"3";"3";"3";"3";"12";"12";"8";"8";"8";"8";"8";"8";"12";"12";"12";"12";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"174185";"0.25";"1";"6";"6";"3";"3";"3";"3";"3";"3";"6";"6";"6";"6";"12";"12";"8";"8";"8";"8";"8";"8";"12";"12";"12";"12";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"174186";"13.3";"1";"3";"3";"3";"0";"0";"0";"0";"0";"3";"3";"3";"3";"15";"15";"15";"0";"0";"0";"0";"0";"15";"15";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"174187";"4.0";"1";"2";"2";"2";"0";"0";"0";"0";"0";"2";"2";"2";"2";"30";"28";"30";"0";"0";"0";"0";"0";"30";"30";"30";"30";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"174188";"12.0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"30";"28";"0";"0";"0";"0";"0";"0";"30";"30";"30";"30";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"174189";"12.0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"30";"28";"0";"0";"0";"0";"0";"0";"30";"30";"30";"30";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"174190";"12.0";"1";"3";"3";"0";"0";"0";"0";"0";"0";"3";"3";"3";"3";"30";"28";"0";"0";"0";"0";"0";"0";"30";"30";"30";"30";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"174191";"30.0";"1";"4";"4";"0";"0";"0";"0";"0";"0";"4";"4";"4";"4";"30";"28";"0";"0";"0";"0";"0";"0";"30";"30";"30";"30";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"174192";"12.0";"1";"4";"4";"0";"0";"0";"0";"0";"0";"4";"4";"4";"4";"15";"15";"0";"0";"0";"0";"0";"0";"15";"15";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"174193";"6.0";"1";"4";"2";"2";"2";"2";"2";"2";"2";"4";"4";"4";"4";"30";"28";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"174194";"6.0";"1";"4";"4";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"30";"28";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
